Rank 	Team 	W-L-T 	Pct 	Pts For 	Pts Against 	Streak 	Waiver 	Moves
*1. 	Priests with guns 	12-2-0 	.857 	2123.36 	1825.73 	W-6 	7 	29
*2. 	Earthbreakwood 	11-3-0 	.786 	2062.84 	1709.99 	L-1 	8 	36
*3. 	Nuns with guns 	10-4-0 	.714 	1865.62 	1663.41 	W-5 	5 	9
*4. 	The Indubitablys 	8-6-0 	.571 	1919.01 	1836.45 	W-2 	6 	46
5. 	Binaries 	5-9-0 	.357 	1678.69 	1790.82 	W-1 	3 	34
6. 	Franks 	6-8-0 	.429 	1827.62 	1881.12 	L-2 	4 	44
7. 	edvard eide's Team 	3-11-0 	.214 	1493.52 	1714.93 	L-6 	2 	5
8. 	Polk High Panthers 	1-13-0 	.071 	1484.07 	2032.28 	L-5 	1 	2
