Rank 	Team 	W-L-T 	Pct 	Pts For 	Pts Against 	Streak 	Waiver 	Moves
*1. 	Team Pink 	10-4-0 	.714 	2107.63 	1730.19 	W-3 	8 	21
*2. 	The Indubitablys 	8-6-0 	.571 	1984.90 	1784.31 	L-3 	6 	43
*3. 	Nuns with guns 	7-7-0 	.500 	1861.98 	1848.82 	W-2 	5 	15
*4. 	Binaries 	10-4-0 	.714 	1744.25 	1676.82 	L-1 	7 	22
5. 	Franks 	6-8-0 	.429 	1884.60 	2041.24 	L-1 	4 	41
6. 	Priests with guns 	6-8-0 	.429 	1762.67 	1846.82 	W-1 	3 	44
7. 	The Chillybows 	3-11-0 	.214 	1689.49 	1957.43 	L-10 	1 	7
8. 	DBK 	6-8-0 	.429 	1716.03 	1865.92 	W-1 	2 	6
