11 	Franks 	Loss 	104.22 - 108.70
12 	Handegg United 	Win 	160.91 - 122.70
13 	Marienlyst Sharks 	Win 	120.07 - 101.32
14 	Charles's Crazy Team 	Win 	134.84 - 127.98
1 	Marienlyst Sharks 	Loss 	105.40 - 131.51
2 	Binaries 	Loss 	148.62 - 152.59
3 	Charles's Crazy Team 	Loss 	152.60 - 177.73
4 	Earthbreakwood 	Win 	120.12 - 110.26
5 	Priests with guns 	Win 	171.99 - 131.39
6 	Franks 	Win 	167.21 - 118.84
7 	The Adult Beverages 	Loss 	145.63 - 147.87
8 	Handegg United 	Win 	162.60 - 161.78
9 	The Indubitablys 	Loss 	95.93 - 147.75
10 	Marienlyst Sharks 	Win 	122.89 - 114.00
11 	Binaries 	Loss 	88.46 - 140.11
12 	Charles's Crazy Team 	Win 	156.70 - 130.59
13 	Earthbreakwood 	Loss 	107.53 - 162.12
14 	Priests with guns 	Loss 	91.50 - 154.31
