Week,Team,Points,Opponent,Opponent points,Year,Win?
8,Polk High Panthers,132.92,Nuns with guns,122.91,2014,TRUE
8,Franks,161.33,Priests with guns,144.58,2014,TRUE
8,Priests with guns,144.58,Franks,161.33,2014,FALSE
9,The Indubitablys,165.53,Priests with guns,208.22,2014,FALSE
9,Priests with guns,208.22,The Indubitablys,165.53,2014,TRUE
9,Binaries,139.32,Nuns with guns,84.61,2014,TRUE
9,Nuns with guns,84.61,Binaries,139.32,2014,FALSE
9,Earthbreakwood,149.39,The Chillybows,110.24,2014,TRUE
9,The Chillybows,110.24,Earthbreakwood,149.39,2014,FALSE
9,Franks,152.8,Polk High Panthers,105.01,2014,TRUE
9,Polk High Panthers,105.01,Franks,152.8,2014,FALSE
10,The Indubitablys,177.06,Polk High Panthers,118.07,2014,TRUE
10,Polk High Panthers,118.07,The Indubitablys,177.06,2014,FALSE
10,Binaries,149.41,Franks,140.96,2014,TRUE
10,Franks,140.96,Binaries,149.41,2014,FALSE
10,Earthbreakwood,148.88,Nuns with guns,111.54,2014,TRUE
10,Nuns with guns,111.54,Earthbreakwood,148.88,2014,FALSE
10,Priests with guns,216.59,The Chillybows,121.36,2014,TRUE
10,The Chillybows,121.36,Priests with guns,216.59,2014,FALSE
11,The Indubitablys,184.96,Binaries,147.81,2014,TRUE
11,Binaries,147.81,The Indubitablys,184.96,2014,FALSE
11,Earthbreakwood,150.6,Franks,135.1,2014,TRUE
11,Franks,135.1,Earthbreakwood,150.6,2014,FALSE
11,Nuns with guns,93.62,The Chillybows,143.46,2014,FALSE
11,The Chillybows,143.46,Nuns with guns,93.62,2014,TRUE
11,Priests with guns,161.96,Polk High Panthers,139.7,2014,TRUE
11,Polk High Panthers,139.7,Priests with guns,161.96,2014,FALSE
12,The Indubitablys,156.12,Earthbreakwood,179.64,2014,FALSE
12,Earthbreakwood,179.64,The Indubitablys,156.12,2014,TRUE
12,Binaries,132.24,Priests with guns,135.33,2014,FALSE
12,Priests with guns,135.33,Binaries,132.24,2014,TRUE
12,Nuns with guns,94.17,Franks,181.39,2014,FALSE
12,Franks,181.39,Nuns with guns,94.17,2014,TRUE
12,Polk High Panthers,135.05,The Chillybows,122.15,2014,TRUE
12,The Chillybows,122.15,Polk High Panthers,135.05,2014,FALSE
13,The Indubitablys,218.42,Nuns with guns,86.24,2014,TRUE
13,Nuns with guns,86.24,The Indubitablys,218.42,2014,FALSE
13,Binaries,172.37,Polk High Panthers,149.12,2014,TRUE
13,Polk High Panthers,149.12,Binaries,172.37,2014,FALSE
13,Earthbreakwood,188.49,Priests with guns,220.28,2014,FALSE
13,Priests with guns,220.28,Earthbreakwood,188.49,2014,TRUE
13,Franks,147.07,The Chillybows,139.19,2014,TRUE
13,The Chillybows,139.19,Franks,147.07,2014,FALSE
14,The Indubitablys,162.21,Franks,178.81,2014,FALSE
14,Franks,178.81,The Indubitablys,162.21,2014,TRUE
14,Binaries,170.58,The Chillybows,181.5,2014,FALSE
14,The Chillybows,181.5,Binaries,170.58,2014,TRUE
14,Earthbreakwood,100.88,Polk High Panthers,159.77,2014,FALSE
14,Polk High Panthers,159.77,Earthbreakwood,100.88,2014,TRUE
14,Nuns with guns,116.77,Priests with guns,204.19,2014,FALSE
14,Priests with guns,204.19,Nuns with guns,116.77,2014,TRUE
